Conference,Year,Title,Author,Affiliation
NeurIPS,2006,Dynamic Foreground/Background Extraction from Images and Videos using Random Patches,"['Le Lu', 'Gregory D Hager']","['Siemens Corporate Research', 'Johns Hopkins University']"
NeurIPS,2006,Large-Scale Sparsified Manifold Regularization,"['Ivor W Tsang', 'James T Kwok']","['Nanyang Technological University', 'Hong Kong University of Science and Technology']"
NeurIPS,2006,"Bayesian Image Super-resolution, Continued","['Lyndsey C Pickup', 'David Capel', 'Stephen J Roberts', 'Andrew Zisserman']","['University of Oxford', 'None', 'University of Oxford', 'DeepMind & University of Oxford']"
NeurIPS,2006,Real-time adaptive information-theoretic optimization of neurophysiological experiments,"['Jeremy Lewi', 'Robert Butera', 'Liam M Paninski']","['Georgia Tech', 'Georgia Tech', 'Center for Neural Science, NYU']"
NeurIPS,2006,A Hidden Markov Dirichlet Process Model for Genetic Recombination in Open Ancestral Space,"['KyungAh Sohn', 'Eric Xing']","['Carnegie Mellon University', 'Petuum Inc. /  Carnegie Mellon University']"
NeurIPS,2006,"Uncertainty, phase and oscillatory hippocampal recall","['Mate Lengyel', 'Peter Dayan']","['University of Cambridge', 'Gatsby Unit, UCL']"
NeurIPS,2006,An EM Algorithm for Localizing Multiple Sound Sources in Reverberant Environments,"['Michael Mandel', 'Daniel P Ellis', 'Tony Jebara']","['Brooklyn College, CUNY', 'Columbia University', 'Spotify']"
NeurIPS,2006,Sparse Representation for Signal Classification,"['Ke Huang', 'Selin Aviyente']","['Michigan State University', 'None']"
NeurIPS,2006,Kernels on Structured Objects Through Nested Histograms,"['Marco Cuturi', 'Kenji Fukumizu']","['Google Brain  &  CREST - ENSAE', 'Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP']"
NeurIPS,2006,Learnability and the doubling dimension,"['Yi Li', 'Phil Long']","['Genome Institute of Singapore', 'NEC Labs']"
NeurIPS,2006,Single Channel Speech Separation Using Layered Hidden Markov Models,"['John R Hershey', 'Trausti Kristjansson', 'Steven J Rennie', 'Peder A Olsen']","['IBM', 'Google', 'IBM Research', 'IBM']"
